FOREIGN TRAVEL FOR LEEDS CITY COUNCIL (April 18 to March 19)     ALL COSTS IN GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME OF PERSON TRAVELING,JOB TITLE,CITY,COUNTRY,DEPARTURE DATE,RETURN DATE,TOTAL NUMBER OF DAYS AND NIGHTS,REASON FOR VISIT ,CLASS OF FLIGHT i.e business,TRAVEL COSTS                                                                                                                      ,,COST OF ACCOMMODATION ,,EXPENSES - LOCAL TRANSPORT ,,EXPENSES - FOOD & DRINK,,TOTAL COST OF VISIT,TOTAL COSTS TO LCC,TOTAL COSTS TO OTHER ORGANISATIONS (IF KNOWN ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,To LCC,To other,To LCC,To other,To LCC,To other,To LCC,To other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cllr Judith Blake,Leader of the Council,Paris,France,27.07.18,30.07.18,3 nights/4 days,To attend Tour de France reception with British Ambassador,economy,205,0,192.51,0,23.87,0,11.89,0,433.27,433.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Arts Project Manager,Gothenburg,Sweden,23.08.18,30.08.18,7 nights/8 days,To attend an EFA Festival Manager training and conference,economy,0,359.01,525,0,0,17.52,0,124.42,1025.95,525,500.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,UASC Regional Coordinator,Strasbourg,France,29.08.18,31.08.18,2 nights/3 days,"To prepare a seminar on inclusion, human rights and young refugees",economy,0,397.41,0,66,0,49.13,0,36.96,549.5,0,549.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Wild,Head of Music,Chemnitz,Germany,22.08.18,29.08.18,7 nights/8 days,To accompany an exchange of the music group Roots Alive,economy,0,209.7,0,336.12,0,0,0,0,545.82,0,545.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Head of Instrumental and Vocal Learning,Chemnitz,Germany,22.08.18,29.08.18,7 nights/8 days,To accompany an exchange of the music group Roots Alive,economy,0,209.7,0,336.12,0,0,0,0,545.82,0,545.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Teacher,Chemnitz,Germany,22.08.18,29.08.18,7 nights/8 days,To accompany an exchange of the music group Roots Alive,economy,0,209.7,0,336.12,0,0,0,0,545.82,0,545.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cllr Judith Blake,Leader of the Council,"Hangzhou, Qingdao",China,05.09.18,11.09.18,6 nights/7 days,To participate in an inward investment mission,economy,1598.9,0,452.73,0,41.59,0,49.55,0,2142.77,2142.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Farrington,Director of City Development,"Hangzhou, Qingdao, Hong Kong",China,05.09.18,13.09.18,8 nights/9 days,To participate in an inward investment mission,economy,1115.21,0,615.23,0,13.5,0,112.24,0,1856.18,1856.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Inward Investment Manager,"Hangzhou, Qingdao, Hong Kong",China,05.09.18,13.09.18,8 nights/9 days,To participate in an inward investment mission,economy,1115.21,0,615.23,0,13.5,0,112.24,0,1856.18,1856.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,International Relations Manager,"Hangzhou, Qingdao, Hong Kong",China,05.09.18,13.09.18,8 nights/9 days,To participate in an inward investment mission,economy,1115.21,0,615.23,0,7.64,0,112.24,0,1850.32,1850.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
